Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context,,,
c5404813f5929d5f6a9093cc69d581c3e63723b34f1d4d98080c544e885fc8a7,2019-04,Cleveland Police,Cleveland Police,-1.223005,54.68726,On or near Tankerville Street,E01011976,Hartlepool 005D,Burglary,Investigation complete; no suspect identified,,,,
7a89e3cc92fffbe3df6f9fd95b871efd3dc17a32aa8777c0773666fca3addb14,2019-04,Cleveland Police,Cleveland Police,-1.232698,54.680788,On or near Queensberry Avenue,E01011965,Hartlepool 006A,Burglary,Investigation complete; no suspect identified,,,,
7539d2c8bb21ceffc9603666f4c54e91c21e302ba205aa6a6d2329643d23af6b,2019-04,Cleveland Police,Cleveland Police,-1.234773,54.685906,On or near Wooler Road,E01011966,Hartlepool 006B,Burglary,Investigation complete; no suspect identified,,,,
ffff7d8193127e5403cf451f06453c25a325bb395b5782c7f6d26a12803373a3,2019-04,Cleveland Police,Cleveland Police,-1.237811,54.685224,On or near Park Mews,E01011983,Hartlepool 006C,Burglary,Investigation complete; no suspect identified,,,,
3ce1393dc9d7d1c656475f1e8b206483c89c4728fd6fcf0279d27b776607bc68,2019-04,Cleveland Police,Cleveland Police,-1.237632,54.691424,On or near Hart Lane,E01012002,Hartlepool 006D,Burglary,Investigation complete; no suspect identified,,,,
3b66de0ba5ecb219c3344f09b13fb021d825d920de2a68eb3ec50f5982fa00b9,2019-04,Cleveland Police,Cleveland Police,-1.237632,54.691424,On or near Hart Lane,E01012002,Hartlepool 006D,Burglary,Investigation complete; no suspect identified,,,,
54513fd01ae3c52dda69e243ab25626cc5cdccd2986e9d345df771d5a77c0647,2019-04,Cleveland Police,Cleveland Police,-1.229085,54.692224,On or near Everett Street,E01012002,Hartlepool 006D,Burglary,Investigation complete; no suspect identified,,,,
8ab81857bf5cf4bda1bd3ab36b2627697d8e03bb04de4bedea381d845d56c808,2019-04,Cleveland Police,Cleveland Police,-1.221495,54.678632,On or near Rydal Street,E01011951,Hartlepool 007A,Burglary,Investigation complete; no suspect identified,,,,
03e25456ea3c68cdb81ec5d1db5966bf2b7859fe73472a6bead6c27e75e155a5,2019-04,Cleveland Police,Cleveland Police,-1.224857,54.686112,On or near Thornville Road,E01011964,Hartlepool 007B,Burglary,Investigation complete; no suspect identified,,,,
3bc678bf8a4104eaaf005875b60de0df789a8e3c5bbc505ad06e70e701c4aa28,2019-04,Cleveland Police,Cleveland Police,-1.225968,54.680727,On or near Belmont Gardens,E01011967,Hartlepool 007C,Burglary,Investigation complete; no suspect identified,,,,
9721bfbebbf2bb3925be31eec92034ace3a7e539a8ccb9c0d5ec04cd997434c7,2019-04,Cleveland Police,Cleveland Police,-1.218205,54.684353,On or near Stotfold Street,E01011999,Hartlepool 007D,Burglary,Unable to prosecute suspect,,,,
255eb9807da8268afdc168854119261fb51262fb19e3a24b7aab9ad9745f8f7c,2019-04,Cleveland Police,Cleveland Police,-1.214311,54.681192,On or near Waldon Street,E01011999,Hartlepool 007D,Burglary,Investigation complete; no suspect identified,,,,
c7ba41306f3d765f563dc10efdc9d9b4e64845d552a506fe3d69a38a21b851a1,2019-04,Cleveland Police,Cleveland Police,-1.213272,54.681985,On or near Parking Area,E01011999,Hartlepool 007D,Burglary,Unable to prosecute suspect,,,,
